clip_id,method,label,frames_sampled,faces_detected,detection_rate
000,real,0,20,20,1.0
001,real,0,20,20,1.0
002,real,0,20,20,1.0
003,real,0,20,20,1.0
004,real,0,20,20,1.0
005,real,0,20,20,1.0
006,real,0,20,20,1.0
007,real,0,20,20,1.0
008,real,0,20,20,1.0
009,real,0,20,20,1.0
010,real,0,20,20,1.0
011,real,0,20,20,1.0
012,real,0,20,20,1.0
013,real,0,20,20,1.0
014,real,0,20,20,1.0
015,real,0,20,20,1.0
016,real,0,20,20,1.0
017,real,0,20,20,1.0
018,real,0,20,20,1.0
019,real,0,20,20,1.0
020,real,0,20,20,1.0
021,real,0,20,20,1.0
022,real,0,20,18,0.9
023,real,0,20,20,1.0
024,real,0,20,20,1.0
025,real,0,20,20,1.0
026,real,0,20,20,1.0
027,real,0,20,20,1.0
028,real,0,20,20,1.0
029,real,0,20,20,1.0
030,real,0,20,20,1.0
031,real,0,20,20,1.0
032,real,0,20,20,1.0
033,real,0,20,6,0.3
034,real,0,20,20,1.0
035,real,0,20,20,1.0
036,real,0,20,20,1.0
037,real,0,20,20,1.0
038,real,0,20,20,1.0
039,real,0,20,20,1.0
040,real,0,20,15,0.75
041,real,0,20,20,1.0
042,real,0,20,20,1.0
043,real,0,20,20,1.0
044,real,0,20,20,1.0
045,real,0,20,20,1.0
046,real,0,20,20,1.0
047,real,0,20,20,1.0
048,real,0,20,20,1.0
049,real,0,20,20,1.0
050,real,0,20,20,1.0
051,real,0,20,20,1.0
052,real,0,20,20,1.0
053,real,0,20,19,0.95
054,real,0,20,20,1.0
055,real,0,20,20,1.0
056,real,0,20,20,1.0
057,real,0,20,20,1.0
058,real,0,20,20,1.0
059,real,0,20,20,1.0
060,real,0,20,20,1.0
061,real,0,20,20,1.0
062,real,0,20,20,1.0
063,real,0,20,20,1.0
064,real,0,20,20,1.0
065,real,0,20,20,1.0
066,real,0,20,20,1.0
067,real,0,20,20,1.0
068,real,0,20,20,1.0
069,real,0,20,20,1.0
070,real,0,20,20,1.0
071,real,0,20,20,1.0
072,real,0,20,20,1.0
073,real,0,20,20,1.0
074,real,0,20,20,1.0
075,real,0,20,20,1.0
076,real,0,20,20,1.0
077,real,0,20,20,1.0
078,real,0,20,20,1.0
079,real,0,20,20,1.0
080,real,0,20,20,1.0
081,real,0,20,20,1.0
082,real,0,20,20,1.0
083,real,0,20,20,1.0
084,real,0,20,20,1.0
085,real,0,20,20,1.0
086,real,0,20,20,1.0
087,real,0,20,20,1.0
088,real,0,20,20,1.0
089,real,0,20,20,1.0
090,real,0,20,20,1.0
091,real,0,20,20,1.0
092,real,0,20,20,1.0
093,real,0,20,20,1.0
094,real,0,20,20,1.0
095,real,0,20,20,1.0
096,real,0,20,0,0.0
097,real,0,20,20,1.0
098,real,0,20,20,1.0
