backbone,held_out,run,level,tested_on,seen,auc,acc,f1
efficientnet_b4,DeepFakes,efficientnet_holdout-deepfakes,video,DeepFakes,False,0.9332,0.7981,0.8714
efficientnet_b4,DeepFakes,efficientnet_holdout-deepfakes,video,Face2Face,True,0.9873,0.935,0.9375
efficientnet_b4,DeepFakes,efficientnet_holdout-deepfakes,video,FaceSwap,True,0.9926,0.9386,0.9412
efficientnet_b4,DeepFakes,efficientnet_holdout-deepfakes,video,NeuralTextures,True,0.9768,0.9206,0.9225
efficientnet_b4,DeepFakes,efficientnet_holdout-deepfakes,video,SimSwap,False,0.9253,0.7928,0.8676
efficientnet_b4,Face2Face,efficientnet_holdout-face2face,video,DeepFakes,True,0.9964,0.9531,0.955
efficientnet_b4,Face2Face,efficientnet_holdout-face2face,video,Face2Face,False,0.8098,0.4744,0.5797
efficientnet_b4,Face2Face,efficientnet_holdout-face2face,video,FaceSwap,True,0.9964,0.9531,0.955
efficientnet_b4,Face2Face,efficientnet_holdout-face2face,video,NeuralTextures,True,0.9844,0.9422,0.9441
efficientnet_b4,Face2Face,efficientnet_holdout-face2face,video,SimSwap,False,0.8733,0.6834,0.7831
efficientnet_b4,FaceSwap,efficientnet_holdout-faceswap,video,DeepFakes,True,0.9944,0.9495,0.951
efficientnet_b4,FaceSwap,efficientnet_holdout-faceswap,video,Face2Face,True,0.9933,0.9567,0.9583
efficientnet_b4,FaceSwap,efficientnet_holdout-faceswap,video,FaceSwap,False,0.4653,0.1545,0.0928
efficientnet_b4,FaceSwap,efficientnet_holdout-faceswap,video,NeuralTextures,True,0.9827,0.9422,0.9437
efficientnet_b4,FaceSwap,efficientnet_holdout-faceswap,video,SimSwap,False,0.9139,0.7769,0.8565
efficientnet_b4,NeuralTextures,efficientnet_holdout-neuraltextures,video,DeepFakes,True,0.9964,0.9639,0.963
efficientnet_b4,NeuralTextures,efficientnet_holdout-neuraltextures,video,Face2Face,True,0.9958,0.9892,0.9892
efficientnet_b4,NeuralTextures,efficientnet_holdout-neuraltextures,video,FaceSwap,True,0.9993,0.9892,0.9892
efficientnet_b4,NeuralTextures,efficientnet_holdout-neuraltextures,video,NeuralTextures,False,0.6671,0.159,0.0829
efficientnet_b4,NeuralTextures,efficientnet_holdout-neuraltextures,video,SimSwap,False,0.9048,0.53,0.6352
legacy_xception,DeepFakes,xception_holdout-deepfakes,video,DeepFakes,False,0.9157,0.6714,0.5208
legacy_xception,DeepFakes,xception_holdout-deepfakes,video,Face2Face,True,0.9971,0.9819,0.9818
legacy_xception,DeepFakes,xception_holdout-deepfakes,video,FaceSwap,True,0.9994,0.9928,0.9928
legacy_xception,DeepFakes,xception_holdout-deepfakes,video,NeuralTextures,True,0.991,0.9495,0.9474
legacy_xception,DeepFakes,xception_holdout-deepfakes,video,SimSwap,False,0.9307,0.6409,0.5153
legacy_xception,Face2Face,xception_holdout-face2face,video,DeepFakes,True,0.9933,0.9675,0.9677
legacy_xception,Face2Face,xception_holdout-face2face,video,Face2Face,False,0.8412,0.6536,0.5268
legacy_xception,Face2Face,xception_holdout-face2face,video,FaceSwap,True,0.9971,0.9783,0.9787
legacy_xception,Face2Face,xception_holdout-face2face,video,NeuralTextures,True,0.9847,0.9603,0.9603
legacy_xception,Face2Face,xception_holdout-face2face,video,SimSwap,False,0.9154,0.7,0.6313
legacy_xception,FaceSwap,xception_holdout-faceswap,video,DeepFakes,True,0.9952,0.9675,0.968
legacy_xception,FaceSwap,xception_holdout-faceswap,video,Face2Face,True,0.9983,0.9747,0.9753
legacy_xception,FaceSwap,xception_holdout-faceswap,video,FaceSwap,False,0.3617,0.1297,0.0238
legacy_xception,FaceSwap,xception_holdout-faceswap,video,NeuralTextures,True,0.9903,0.9567,0.9568
legacy_xception,FaceSwap,xception_holdout-faceswap,video,SimSwap,False,0.838,0.5459,0.6527
legacy_xception,NeuralTextures,xception_holdout-neuraltextures,video,DeepFakes,True,0.9998,0.9892,0.9892
legacy_xception,NeuralTextures,xception_holdout-neuraltextures,video,Face2Face,True,0.9988,0.9892,0.9892
legacy_xception,NeuralTextures,xception_holdout-neuraltextures,video,FaceSwap,True,0.9999,0.9928,0.9928
legacy_xception,NeuralTextures,xception_holdout-neuraltextures,video,NeuralTextures,False,0.7124,0.2164,0.1973
legacy_xception,NeuralTextures,xception_holdout-neuraltextures,video,SimSwap,False,0.8552,0.5115,0.6158
