backbone,held_out,run,level,tested_on,seen,auc,acc,f1
efficientnet_b4,DeepFakes,efficientnet_holdout-deepfakes_cleantest,video,DeepFakes,False,0.9285,0.8429,0.8295
efficientnet_b4,DeepFakes,efficientnet_holdout-deepfakes_cleantest,video,Face2Face,True,0.9873,0.935,0.9375
efficientnet_b4,DeepFakes,efficientnet_holdout-deepfakes_cleantest,video,FaceSwap,True,0.9926,0.9386,0.9412
efficientnet_b4,DeepFakes,efficientnet_holdout-deepfakes_cleantest,video,NeuralTextures,True,0.9768,0.9206,0.9225
efficientnet_b4,DeepFakes,efficientnet_holdout-deepfakes_cleantest,video,SimSwap,False,0.9138,0.8536,0.8429
efficientnet_b4,Face2Face,efficientnet_holdout-face2face_cleantest,video,DeepFakes,True,0.9964,0.9531,0.955
efficientnet_b4,Face2Face,efficientnet_holdout-face2face_cleantest,video,Face2Face,False,0.8563,0.7464,0.6979
efficientnet_b4,Face2Face,efficientnet_holdout-face2face_cleantest,video,FaceSwap,True,0.9964,0.9531,0.955
efficientnet_b4,Face2Face,efficientnet_holdout-face2face_cleantest,video,NeuralTextures,True,0.9844,0.9422,0.9441
efficientnet_b4,Face2Face,efficientnet_holdout-face2face_cleantest,video,SimSwap,False,0.8914,0.7964,0.7711
efficientnet_b4,FaceSwap,efficientnet_holdout-faceswap_cleantest,video,DeepFakes,True,0.9944,0.9495,0.951
efficientnet_b4,FaceSwap,efficientnet_holdout-faceswap_cleantest,video,Face2Face,True,0.9933,0.9567,0.9583
efficientnet_b4,FaceSwap,efficientnet_holdout-faceswap_cleantest,video,FaceSwap,False,0.476,0.5036,0.1775
efficientnet_b4,FaceSwap,efficientnet_holdout-faceswap_cleantest,video,NeuralTextures,True,0.9827,0.9422,0.9437
efficientnet_b4,FaceSwap,efficientnet_holdout-faceswap_cleantest,video,SimSwap,False,0.9092,0.825,0.8108
efficientnet_b4,NeuralTextures,efficientnet_holdout-neuraltextures_cleantest,video,DeepFakes,True,0.9964,0.9639,0.963
efficientnet_b4,NeuralTextures,efficientnet_holdout-neuraltextures_cleantest,video,Face2Face,True,0.9958,0.9892,0.9892
efficientnet_b4,NeuralTextures,efficientnet_holdout-neuraltextures_cleantest,video,FaceSwap,True,0.9993,0.9892,0.9892
efficientnet_b4,NeuralTextures,efficientnet_holdout-neuraltextures_cleantest,video,NeuralTextures,False,0.7372,0.525,0.1307
efficientnet_b4,NeuralTextures,efficientnet_holdout-neuraltextures_cleantest,video,SimSwap,False,0.9174,0.7571,0.6881
legacy_xception,DeepFakes,xception_holdout-deepfakes_cleantest,video,DeepFakes,False,0.9263,0.8357,0.8115
legacy_xception,DeepFakes,xception_holdout-deepfakes_cleantest,video,Face2Face,True,0.9956,0.9783,0.9784
legacy_xception,DeepFakes,xception_holdout-deepfakes_cleantest,video,FaceSwap,True,0.9991,0.9856,0.9857
legacy_xception,DeepFakes,xception_holdout-deepfakes_cleantest,video,NeuralTextures,True,0.9906,0.9675,0.9673
legacy_xception,DeepFakes,xception_holdout-deepfakes_cleantest,video,SimSwap,False,0.839,0.7571,0.6937
legacy_xception,Face2Face,xception_holdout-face2face_cleantest,video,DeepFakes,True,0.9951,0.9531,0.9547
legacy_xception,Face2Face,xception_holdout-face2face_cleantest,video,Face2Face,False,0.8006,0.6679,0.5634
legacy_xception,Face2Face,xception_holdout-face2face_cleantest,video,FaceSwap,True,0.9979,0.9567,0.9583
legacy_xception,Face2Face,xception_holdout-face2face_cleantest,video,NeuralTextures,True,0.9871,0.9386,0.9399
legacy_xception,Face2Face,xception_holdout-face2face_cleantest,video,SimSwap,False,0.8981,0.8214,0.8047
legacy_xception,FaceSwap,xception_holdout-faceswap_cleantest,video,DeepFakes,True,0.9952,0.9675,0.968
legacy_xception,FaceSwap,xception_holdout-faceswap_cleantest,video,Face2Face,True,0.9983,0.9747,0.9753
legacy_xception,FaceSwap,xception_holdout-faceswap_cleantest,video,FaceSwap,False,0.4055,0.5,0.0667
legacy_xception,FaceSwap,xception_holdout-faceswap_cleantest,video,NeuralTextures,True,0.9903,0.9567,0.9568
legacy_xception,FaceSwap,xception_holdout-faceswap_cleantest,video,SimSwap,False,0.8688,0.7929,0.75
legacy_xception,NeuralTextures,xception_holdout-neuraltextures_cleantest,video,DeepFakes,True,0.9998,0.9892,0.9892
legacy_xception,NeuralTextures,xception_holdout-neuraltextures_cleantest,video,Face2Face,True,0.9988,0.9892,0.9892
legacy_xception,NeuralTextures,xception_holdout-neuraltextures_cleantest,video,FaceSwap,True,0.9999,0.9928,0.9928
legacy_xception,NeuralTextures,xception_holdout-neuraltextures_cleantest,video,NeuralTextures,False,0.7638,0.5857,0.3256
legacy_xception,NeuralTextures,xception_holdout-neuraltextures_cleantest,video,SimSwap,False,0.8823,0.7536,0.6849
